author_profile,authorname,title,url
https://www.theverge.com/authors/david-imel,David Imel,"Fujifilm GFX100RF review: one sensor, nine cameras",https://www.theverge.com/reviews/633769/fuji-gfx-100rf-review-medium-format-compact-camera
https://www.theverge.com/authors/brandon-widder,Brandon Widder,Google’s Pixel Tablet is $120 off ahead of Amazon’s spring sales event,https://www.theverge.com/good-deals/631847/google-pixel-tablet-assassins-creed-shadows-deal-sale
https://www.theverge.com/authors/thomas-ricker,Thomas Ricker,Bluetti’s Handsfree 1 is a solar generator for truly remote work,https://www.theverge.com/reviews/633112/bluetti-handfree-backpack-review-solar-battery-price-specs
https://www.theverge.com/authors/brandon-widder,Brandon Widder,Here are the best deals you can already grab from Amazon’s spring sales event,https://www.theverge.com/tech/632597/amazon-big-spring-sale-2025-prime-day-deals
https://www.theverge.com/authors/chris-welch,Chris Welch,The best wireless earbuds to buy right now,https://www.theverge.com/21309820/best-wireless-earbuds
https://www.theverge.com/authors/brandon-widder,Brandon Widder,Here are the best Apple Watch deals right now,https://www.theverge.com/21289209/best-apple-watch-deals
https://www.theverge.com/authors/sheena-vasani,Sheena Vasani,Here are the best Kindle deals right now,https://www.theverge.com/21539047/best-amazon-kindle-deals
https://www.theverge.com/authors/barbara-krasnoff,Barbara Krasnoff,"Google’s Pixel Buds Pro 2 are now $179, their lowest price yet",https://www.theverge.com/good-deals/633379/google-pixel-buds-pro-2-beats-studio-pro-headphones-deal-sale
https://www.theverge.com/authors/todd-haselton,Todd Haselton,There’s a big sale on the Pixel 9 Pro and Pixel 9 Pro XL right now,https://www.theverge.com/good-deals/632645/google-pixel-9-pro-xl-eero-pro-6e-deal-sale
https://www.theverge.com/authors/brandon-widder,Brandon Widder,The best iPad deals you can get,https://www.theverge.com/21280354/best-ipad-deals-apple
https://www.theverge.com/authors/barbara-krasnoff,Barbara Krasnoff,"Great savings on the EcoFlow Delta Pro 3, which will keep your home powered",https://www.theverge.com/good-deals/631237/ecoflow-delta-3-pro-power-station-apple-ipad-11th-gen-deal-sale
https://www.theverge.com/authors/brandon-widder,Brandon Widder,Steam’s Spring Sale is taking up to 75 percent off some of our favorite games,https://www.theverge.com/good-deals/629616/steam-spring-sale-cyberpunk-2077-sonos-ray-soundbar-deal
https://www.theverge.com/authors/umar-shakir,Umar Shakir,People keep putting fake walls in front of Teslas,https://www.theverge.com/news/634130/tesla-fsd-wile-e-coyote-youtube-test-cybertruck
https://www.theverge.com/authors/wes-davis,Wes Davis,Google is rolling out Gemini’s real-time AI video features,https://www.theverge.com/news/634480/google-gemini-live-video-screen-sharing-astra-features-rolling-out
https://www.theverge.com/authors/wes-davis,Wes Davis,Google confirms it deleted Maps Timeline data for some,https://www.theverge.com/news/634442/google-maps-timeline-data-deleted-cloud-backup-recovery
https://www.theverge.com/authors/antonio-g-di-benedetto,Antonio G. Di Benedetto,The best laptops you can get,https://www.theverge.com/21250695/best-laptops
https://www.theverge.com/authors/alex-heath,Alex Heath,How ‘Careless People’ is becoming a bigger problem for Meta,https://www.theverge.com/command-line-newsletter/634080/careless-people-sarah-wynn-williams-book-meta-congress
https://www.theverge.com/authors/gaby-del-valle,Gaby Del Valle,Is it safe to travel with your phone right now?,https://www.theverge.com/policy/634264/customs-border-protection-search-phone-airport-rights
https://www.theverge.com/authors/sean-hollister,Sean Hollister,"Lenovo Legion Go S review: feels good, plays bad",https://www.theverge.com/reviews/617613/lenovo-legion-go-s-review-feels-good-plays-bad
https://www.theverge.com/authors/antonio-g-di-benedetto,Antonio G. Di Benedetto,The best MagSafe and Qi2 chargers,https://www.theverge.com/23505846/best-magsafe-magnetic-chargers-apple-iphone
